,,,,,,
,,발목,종아리,小腿,小腿,
,,다리전체,발목,脚踝,腳踝,
,,비키니라인,다리전체,腿部整体,腿部整體,
,,브라질리언,비키니라인,比基尼线,比基尼線,
,,항문,브라질리언,巴西式,巴西式,
,,회음부,항문,肛门,肛門,
,,,회음부,会阴部,會陰部,
,,스킨부스터,스킨부스터,皮肤增强剂,皮膚增強劑,
,,Ellansé,엘렌쎄,Ellansé少女针,Ellansé少女針,
,,레스틸렌,레스틸렌,瑞蓝,瑞絲朗,
,,,마이크로니들 RF(골드),黄金微针,微針射頻,
,,,초음파 리프팅,超声炮,超音波拉提,
,,,포텐자,黄金微针,微針射頻,
,,,써마지 FLX (아이) ,眼部热玛吉,眼部鳳凰電波FLX,
,,,리쥬란,丽珠兰,麗珠蘭,
,,,리쥬란 힐러,丽珠兰黑盒,麗珠蘭黑盒,
,,,리쥬란 hb,丽珠兰红盒,麗珠蘭HB Plus,
,,,리쥬란 아이,丽珠兰白盒,眼部麗珠蘭,
,,,엠보싱 현상,小鼓包,小鼓包,
,,,턱라인보톡스,下颌线肉毒,下顎線肉毒,
,,,울써마지,热超联合,電音雙波,
,,,소멸핏,小脸Fit,小臉Fit,
,,,간편 상담 예약,快速咨询预约,快速諮詢預約,
,,,시술 안내,施术介绍,療程介紹,
,,,히알루론산 ,透明质酸,透明质酸,
,,,엘라스틴,弹力蛋白,彈力蛋白,
,,,QR코드,二维码,QR Code,
,,,라풀렌,Lafullen,Lafullen,
,,,로테이션 레이저 ,Rotation激光,Rotation雷射,
,,,스킨케어 오마카세,随心所欲 皮肤护理套餐,隨心所欲 皮膚護理套餐,
,,,필 오마카세,随心所欲 焕肤护理套餐,隨心所欲 煥膚護理套餐,
,,,세예 시그니쳐 얼굴 소멸핏,世颜招牌消脸Fit,世顏招牌消臉Fit,
,,,정품·정량,正品·定量,正品·定量,
,,,가격표,价目表,價目表,
,,,실리프팅,线雕,埋線拉提,
,,,바비코,芭比鼻,芭比線,
